"filename", "language", "JSON with Comments", "JSON", "TypeScript", "HTML", "Markdown", "Vue", "YAML", "CSS", "comment", "blank", "total"
"d:\VueProject\vue-manage-system-master\.github\FUNDING.yml", "YAML", 0, 0, 0, 0, 0, 0, 10, 0, 1, 2, 13
"d:\VueProject\vue-manage-system-master\README.md", "Markdown", 0, 0, 0, 0, 104, 0, 0, 0, 0, 34, 138
"d:\VueProject\vue-manage-system-master\README_EN.md", "Markdown", 0, 0, 0, 0, 93, 0, 0, 0, 0, 27, 120
"d:\VueProject\vue-manage-system-master\auto-imports.d.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 1, 2, 6
"d:\VueProject\vue-manage-system-master\components.d.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 0, 0, 3, 3, 58
"d:\VueProject\vue-manage-system-master\index.html", "HTML", 0, 0, 0, 18, 0, 0, 0, 0, 1, 3, 22
"d:\VueProject\vue-manage-system-master\package-lock.json", "JSON", 0, 1881, 0, 0, 0, 0, 0, 0, 0, 1, 1882
"d:\VueProject\vue-manage-system-master\package.json", "JSON", 0, 39, 0, 0, 0, 0, 0, 0, 0, 1, 40
"d:\VueProject\vue-manage-system-master\public\table.json", "JSON", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 40
"d:\VueProject\vue-manage-system-master\src\App.vue", "Vue", 0, 0, 0, 0, 0, 13, 0, 0, 0, 2, 15
"d:\VueProject\vue-manage-system-master\src\api\index.ts", "TypeScript", 0, 0, 112, 0, 0, 0, 0, 0, 18, 11, 141
"d:\VueProject\vue-manage-system-master\src\assets\css\color-dark.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 23
"d:\VueProject\vue-manage-system-master\src\assets\css\icon.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"d:\VueProject\vue-manage-system-master\src\assets\css\main.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 111, 1, 25, 137
"d:\VueProject\vue-manage-system-master\src\components\header.vue", "Vue", 0, 0, 0, 0, 0, 149, 0, 0, 10, 19, 178
"d:\VueProject\vue-manage-system-master\src\components\sidebar.vue", "Vue", 0, 0, 0, 0, 0, 106, 0, 0, 64, 12, 182
"d:\VueProject\vue-manage-system-master\src\components\tags.vue", "Vue", 0, 0, 0, 0, 0, 143, 0, 0, 9, 15, 167
"d:\VueProject\vue-manage-system-master\src\main.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 2, 4, 29
"d:\VueProject\vue-manage-system-master\src\router\index.ts", "TypeScript", 0, 0, 187, 0, 0, 0, 0, 0, 15, 5, 207
"d:\VueProject\vue-manage-system-master\src\store\permiss.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"d:\VueProject\vue-manage-system-master\src\store\sidebar.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"d:\VueProject\vue-manage-system-master\src\store\tags.ts", "TypeScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 3, 54
"d:\VueProject\vue-manage-system-master\src\utils\request.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 5, 32
"d:\VueProject\vue-manage-system-master\src\views\403.vue", "Vue", 0, 0, 0, 0, 0, 51, 0, 0, 0, 4, 55
"d:\VueProject\vue-manage-system-master\src\views\404.vue", "Vue", 0, 0, 0, 0, 0, 51, 0, 0, 0, 4, 55
"d:\VueProject\vue-manage-system-master\src\views\charts.vue", "Vue", 0, 0, 0, 0, 0, 124, 0, 0, 0, 4, 128
"d:\VueProject\vue-manage-system-master\src\views\displayinfo.vue", "Vue", 0, 0, 0, 0, 0, 250, 0, 0, 4, 24, 278
"d:\VueProject\vue-manage-system-master\src\views\donate.vue", "Vue", 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"d:\VueProject\vue-manage-system-master\src\views\editor.vue", "Vue", 0, 0, 0, 0, 0, 34, 0, 0, 0, 4, 38
"d:\VueProject\vue-manage-system-master\src\views\export.vue", "Vue", 0, 0, 0, 0, 0, 90, 0, 0, 1, 8, 99
"d:\VueProject\vue-manage-system-master\src\views\form.vue", "Vue", 0, 0, 0, 0, 0, 151, 0, 0, 3, 3, 157
"d:\VueProject\vue-manage-system-master\src\views\home.vue", "Vue", 0, 0, 0, 0, 0, 25, 0, 0, 0, 2, 27
"d:\VueProject\vue-manage-system-master\src\views\icon.vue", "Vue", 0, 0, 0, 0, 0, 209, 0, 0, 0, 4, 213
"d:\VueProject\vue-manage-system-master\src\views\import.vue", "Vue", 0, 0, 0, 0, 0, 108, 0, 0, 2, 9, 119
"d:\VueProject\vue-manage-system-master\src\views\login.vue", "Vue", 0, 0, 0, 0, 0, 138, 0, 0, 11, 18, 167
"d:\VueProject\vue-manage-system-master\src\views\markdown.vue", "Vue", 0, 0, 0, 0, 0, 19, 0, 0, 0, 3, 22
"d:\VueProject\vue-manage-system-master\src\views\matingcondition.vue", "Vue", 0, 0, 0, 0, 0, 884, 0, 0, 33, 34, 951
"d:\VueProject\vue-manage-system-master\src\views\permission.vue", "Vue", 0, 0, 0, 0, 0, 123, 0, 0, 4, 11, 138
"d:\VueProject\vue-manage-system-master\src\views\recommend.vue", "Vue", 0, 0, 0, 0, 0, 300, 0, 0, 120, 40, 460
"d:\VueProject\vue-manage-system-master\src\views\search.vue", "Vue", 0, 0, 0, 0, 0, 52, 0, 0, 60, 6, 118
"d:\VueProject\vue-manage-system-master\src\views\signup.vue", "Vue", 0, 0, 0, 0, 0, 163, 0, 0, 14, 21, 198
"d:\VueProject\vue-manage-system-master\src\views\table.vue", "Vue", 0, 0, 0, 0, 0, 173, 0, 0, 7, 12, 192
"d:\VueProject\vue-manage-system-master\src\views\upload.vue", "Vue", 0, 0, 0, 0, 0, 45, 0, 0, 0, 7, 52
"d:\VueProject\vue-manage-system-master\src\views\user.vue", "Vue", 0, 0, 0, 0, 0, 922, 0, 0, 94, 36, 1052
"d:\VueProject\vue-manage-system-master\src\vite-env.d.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 1, 2, 10
"d:\VueProject\vue-manage-system-master\tsconfig.json", "JSON with Comments", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30
"d:\VueProject\vue-manage-system-master\tsconfig.node.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\VueProject\vue-manage-system-master\vite.config.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 1, 33
"Total", "-", 30, 1969, 529, 18, 197, 4335, 10, 137, 479, 441, 8145